plot_width,plot_length,plot_area_sqft,aspect_ratio,floors,bhk,family_size,parking_spaces,facing_direction,vastu_priority,layout_archetype,circulation_ratio
39.3,106.0,4165.8,2.697,2,5,7,1,West,True,CENTRAL_SPINE_SPLIT,0.157
19.2,52.5,1008.0,2.734,1,2,3,1,North,True,CENTRAL_SPINE_SPLIT,0.154
34.6,68.7,2377.0,1.986,1,2,3,2,North,True,CENTRAL_SPINE_SPLIT,0.134
20.6,40.7,838.4,1.976,1,2,3,1,North,True,CENTRAL_SPINE_SPLIT,0.171
25.0,43.5,1087.5,1.74,3,1,3,1,North,True,COMPACT_LINEAR,0.095
28.5,78.0,2223.0,2.737,3,3,5,3,North,True,VILLA_PERIMETER,0.171
40.2,51.0,2050.2,1.269,2,4,7,1,North,False,L_SHAPED_COURTYARD,0.159
74.3,140.0,10402.0,1.884,1,4,7,2,East,True,CENTRAL_SPINE_SPLIT,0.171
24.6,61.8,1520.3,2.512,1,3,5,1,North,True,CENTRAL_SPINE_SPLIT,0.155
68.6,116.0,7957.6,1.691,2,4,7,2,South,True,VILLA_PERIMETER,0.218
19.4,22.0,426.8,1.134,2,1,2,0,West,True,COMPACT_LINEAR,0.09
61.1,72.1,4405.3,1.18,2,4,7,3,East,True,L_SHAPED_COURTYARD,0.194
48.7,116.7,5683.3,2.396,2,6,8,2,East,False,WRAP_AROUND_OPEN_PLAN,0.156
41.8,48.8,2039.8,1.167,1,2,3,1,South,True,WRAP_AROUND_OPEN_PLAN,0.145
73.4,140.0,10276.0,1.907,2,4,5,1,East,True,VILLA_PERIMETER,0.148
37.7,76.6,2887.8,2.032,2,4,9,2,North,True,CENTRAL_SPINE_SPLIT,0.137
63.8,107.7,6871.3,1.688,2,6,9,1,South,True,VILLA_PERIMETER,0.207
36.6,42.5,1555.5,1.161,2,3,4,1,West,True,WRAP_AROUND_OPEN_PLAN,0.137
65.7,139.2,9145.4,2.119,2,5,10,1,North,False,CENTRAL_SPINE_SPLIT,0.165
32.9,91.9,3023.5,2.793,2,5,7,1,East,False,CENTRAL_SPINE_SPLIT,0.162
41.1,105.4,4331.9,2.564,3,6,10,2,South,False,CENTRAL_SPINE_SPLIT,0.173
34.2,45.9,1569.8,1.342,1,3,5,1,North,True,L_SHAPED_COURTYARD,0.175
59.1,79.6,4704.4,1.347,2,5,6,2,West,True,VILLA_PERIMETER,0.209
42.8,61.4,2627.9,1.435,2,4,6,2,East,False,COMPACT_LINEAR,0.206
71.6,140.0,10024.0,1.955,2,6,9,3,West,True,CENTRAL_SPINE_SPLIT,0.159
66.5,90.8,6038.2,1.365,2,4,6,2,North,True,VILLA_PERIMETER,0.205
26.0,46.5,1209.0,1.788,2,3,6,1,South,True,CENTRAL_SPINE_SPLIT,0.173
64.2,140.0,8988.0,2.181,2,6,10,2,East,False,CENTRAL_SPINE_SPLIT,0.16
37.3,55.5,2070.1,1.488,2,2,4,1,South,True,WRAP_AROUND_OPEN_PLAN,0.134
19.7,22.0,433.4,1.117,2,1,2,0,East,True,COMPACT_LINEAR,0.097
22.9,22.0,503.8,0.961,2,1,4,0,West,True,COMPACT_LINEAR,0.12
63.3,80.3,5083.0,1.269,1,5,8,2,North,True,L_SHAPED_COURTYARD,0.19
49.3,108.5,5349.0,2.201,2,5,10,2,North,True,CENTRAL_SPINE_SPLIT,0.172
18.8,22.0,413.6,1.17,1,1,3,0,South,True,COMPACT_LINEAR,0.119
45.0,47.9,2155.5,1.064,1,3,7,1,North,True,L_SHAPED_COURTYARD,0.196
46.7,116.7,5449.9,2.499,1,5,8,1,East,False,CENTRAL_SPINE_SPLIT,0.153
40.1,82.2,3296.2,2.05,2,4,6,3,West,True,CENTRAL_SPINE_SPLIT,0.167
23.7,22.0,521.4,0.928,2,1,2,0,East,True,COMPACT_LINEAR,0.104
34.1,32.3,1101.4,0.947,2,2,4,1,East,True,COMPACT_LINEAR,0.117
60.8,140.0,8512.0,2.303,2,6,10,2,West,False,CENTRAL_SPINE_SPLIT,0.153
60.8,138.9,8445.1,2.285,3,4,8,2,West,True,CENTRAL_SPINE_SPLIT,0.16
66.3,95.8,6351.5,1.445,2,6,7,1,North,True,VILLA_PERIMETER,0.16
30.1,80.9,2435.1,2.688,1,4,7,2,West,True,CENTRAL_SPINE_SPLIT,0.18
67.4,140.0,9436.0,2.077,2,5,9,1,South,True,CENTRAL_SPINE_SPLIT,0.157
67.2,140.0,9408.0,2.083,3,4,4,2,South,True,CENTRAL_SPINE_SPLIT,0.173
32.2,44.9,1445.8,1.394,1,3,7,1,East,False,WRAP_AROUND_OPEN_PLAN,0.117
60.4,128.7,7773.5,2.131,2,4,5,2,South,False,CENTRAL_SPINE_SPLIT,0.159
49.7,68.5,3404.5,1.378,3,3,5,2,North,True,WRAP_AROUND_OPEN_PLAN,0.143
34.8,97.1,3379.1,2.79,2,4,7,3,North,True,CENTRAL_SPINE_SPLIT,0.163
37.1,39.2,1454.3,1.057,1,3,4,1,South,True,WRAP_AROUND_OPEN_PLAN,0.129
19.8,25.5,504.9,1.288,2,1,2,0,North,False,COMPACT_LINEAR,0.105
51.1,134.4,6867.8,2.63,3,4,5,2,East,True,CENTRAL_SPINE_SPLIT,0.162
39.5,89.8,3547.1,2.273,3,4,5,1,North,True,CENTRAL_SPINE_SPLIT,0.161
57.4,104.6,6004.0,1.822,3,5,9,2,South,True,CENTRAL_SPINE_SPLIT,0.167
