built_up_area_sqft,floors,bhk,city_tier,soil_type,seismic_zone,climate_zone,finishing_tier,has_basement,has_lift,cost_per_sqft_inr,total_cost_inr
5187.5,3,3,2,Sandy Loam,II,Hot-Dry,Standard,False,False,1736.8,9009650.0
1623.1,1,2,3,Clay,III,Cold,Premium,False,False,2826.4,4587530.0
1205.6,2,4,1,Clay,III,Moderate,Luxury,False,False,4844.7,5840770.0
1587.0,2,3,2,Black Cotton,IV,Moderate,Standard,True,False,2752.9,4368852.0
3791.1,3,4,1,Sandy Loam,II,Composite,Premium,False,False,2641.3,10013432.0
4778.0,2,1,1,Sandy Loam,III,Moderate,Standard,False,False,1843.0,8805854.0
1133.4,1,3,1,Rocky,III,Moderate,Standard,False,False,2009.5,2277567.0
1147.7,1,3,1,Rocky,II,Composite,Premium,False,False,2957.7,3394552.0
6117.2,3,2,1,Sandy Loam,V,Hot-Dry,Basic,False,False,1518.6,9289580.0
4593.3,2,3,2,Sandy Loam,III,Composite,Basic,False,False,1329.5,6106792.0
1082.1,2,1,2,Clay,III,Composite,Standard,False,False,1833.5,1984030.0
2943.7,2,3,3,Sandy Loam,II,Composite,Luxury,False,False,3554.2,10462499.0
1799.6,2,2,1,Sandy Loam,III,Moderate,Standard,False,False,1869.4,3364172.0
719.5,1,4,1,Black Cotton,IV,Warm-Humid,Basic,False,False,2001.7,1440223.0
1717.2,1,1,3,Clay,II,Composite,Basic,False,False,1354.2,2325432.0
950.5,2,4,1,Black Cotton,II,Composite,Premium,False,False,3424.3,3254797.0
1417.6,2,3,2,Rocky,IV,Warm-Humid,Premium,True,False,3083.4,4371028.0
3879.2,2,4,2,Rocky,III,Composite,Standard,False,False,1643.0,6373526.0
7166.6,3,2,2,Clay,III,Moderate,Standard,False,True,1941.5,14363954.0
727.3,1,4,1,Sandy Loam,III,Composite,Premium,False,False,3241.8,2357761.0
1300.3,1,3,1,Sandy Loam,III,Composite,Standard,False,False,2024.8,2632847.0
3095.9,2,3,3,Sandy Loam,IV,Composite,Basic,False,False,1351.2,4183180.0
