source_id,sample_id,split,layout_typology,typology_name,builtup_sqft,carpet_sqft,bhk,room_count,source_hash
cubicasa5k/labels/train/1000.txt,1000,train,3,Multi-Wing Villa,2723.1,2438.9,5,16,338ade5cc0623018da3d80620ed28588b8c249d08a57adef86eecea0198c43a7
cubicasa5k/labels/train/10000.txt,10000,train,3,Multi-Wing Villa,1336.2,1056.7,4,12,978b9a099c8ef9a5c9c0c87d4d41100b19a4b8b1755dcfd2bcde1cc525794e03
cubicasa5k/labels/train/10001.txt,10001,train,2,Linear Spine,899.1,792.9,2,7,0aa9e2ba16134622357faefeca51eed6a5b69572e5573324d45821aa7f01189e
cubicasa5k/labels/train/10002.txt,10002,train,3,Multi-Wing Villa,2473.8,2228.2,4,10,cf36c3d2f6f07801e00645633ec9daf33f9efd5e6d1a6ba15dcc92cdcfc84d60
cubicasa5k/labels/train/10004.txt,10004,train,1,Zoned Family Residence,820.1,697.9,2,5,27842f0b01d01e35dda015cd426b909d4b7b45e757be76bac9b5566329c31a3f
cubicasa5k/labels/train/10006.txt,10006,train,3,Multi-Wing Villa,2421.2,2147.9,4,12,540fa871e0c7017e734caf523e430432f43559393e135969581ad1dbb0cd6a0e
cubicasa5k/labels/train/10007.txt,10007,train,3,Multi-Wing Villa,3252.5,2954.1,4,10,0c7e87e5797156e4904fd784bc6cf762e87b40497dcd70b8dd9e3736e56592bf
cubicasa5k/labels/train/10010.txt,10010,train,0,Compact Studio,160.6,136.1,1,3,af0089a23487d44caea1d834411ae51fbd26900f92cee071ad6e92166581ad57
cubicasa5k/labels/train/10014.txt,10014,train,3,Multi-Wing Villa,2230.3,1989.7,4,8,d964cde1bf4646dc5e410be4f5f589ded160d4a200d2cf5af32ad793340a669f
cubicasa5k/labels/train/10017.txt,10017,train,1,Zoned Family Residence,1518.3,1350.4,2,6,1080aefe56c3dd78c4d0070715e3ae09f9a9ca2a3aa349b96e8af30f02eede37
cubicasa5k/labels/train/10018.txt,10018,train,1,Zoned Family Residence,782.5,665.2,2,6,95477d598b1a532cad4d70186a342673c06e85c6264d10d0b91521089695a46e
cubicasa5k/labels/train/10019.txt,10019,train,0,Compact Studio,683.1,571.2,1,4,4adb37f4687d2fb2ac79d0a166edcce214b4819c216be67282f5c438b7965eac
cubicasa5k/labels/train/10020.txt,10020,train,0,Compact Studio,558.1,469.9,1,4,d75c1bfef0c481272a68320d751b352e15d03bbcaedbb4b97f3454d538542ec1
cubicasa5k/labels/train/10023.txt,10023,train,1,Zoned Family Residence,1379.8,1178.8,3,9,6b380276ff70749191866692d304086205b7bb9b37ec1e3b7e1d65521c8a02f1
cubicasa5k/labels/train/10025.txt,10025,train,3,Multi-Wing Villa,1508.2,1273.1,4,10,d65a2e3479353d13fefd581190c42230d27a56a7da051a1b2f2a02f305161ad8
